Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
127,Bulimulus perspectivus,Bulimulus perspectivus,23609,23631,12.43,2,NO_ANNOT,,,Exact,0,"Bulimulus perspectivus (Pfeiffer, 1846)",Bulimulus perspectivus,44021,163,IUCN Red List of Threatened Species,
128,Bulimulus jacobi,Bulimulus jacobi,23678,23694,6.50,2,NO_ANNOT,,,Exact,0,"Bulimulus jacobi (Sowerby, 1833)",Bulimulus jacobi,3293,163,IUCN Red List of Threatened Species,
129,Bulimulus,Bulimulus,23695,23704,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
130,Bulimulus,Bulimulus,23720,23729,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
131,Bulimulus olla,Bulimulus olla,23746,23760,7.74,2,NO_ANNOT,,,Exact,0,"Bulimulus olla (Dall, 1893)",Bulimulus olla,44018,163,IUCN Red List of Threatened Species,
132,Bulimulus,Bulimulus,23761,23770,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
133,Bulimulus,Bulimulus,23780,23789,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
134,Bulimulus,Bulimulus,23790,23799,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
135,Bulimulus,Bulimulus,23800,23809,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
136,Bulimulus,Bulimulus,23810,23819,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
137,Bulimulus,Bulimulus,23820,23829,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
138,Bulimulus,Bulimulus,23830,23839,5.92,1,NO_ANNOT,,,Exact,0,"Bulimulus Leach, 1814",Bulimulus,7NRBH,1,Catalogue of Life,
